time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-26T15:26:30.380Z,19.4181671,-155.2640076,14,2.45,md,8,147,0.01897,0.33,hv,hv70194022,2018-05-26T15:29:33.670Z,"3km WSW of Volcano, Hawaii",earthquake,5.1,2.34,0.04,4,automatic,hv,hv
2018-05-26T15:11:22.000Z,19.413166,-155.3005066,0.52,2.68,ml,13,88,0.01175,0.2,hv,hv70193977,2018-05-26T15:17:02.780Z,"6km WSW of Volcano, Hawaii",earthquake,0.33,0.34,2.69,24,automatic,hv,hv
2018-05-26T14:53:19.710Z,18.736,-68.7695,121,3.15,md,11,320,0.4472,0.21,pr,pr2018146010,2018-05-26T19:44:44.040Z,"4km NW of Salvaleon de Higuey, Dominican Republic",earthquake,19,2.31,0.42,10,reviewed,pr,pr
2018-05-26T14:20:48.220Z,19.3086662,-155.2050018,5.12,3.13,ml,27,108,0.033,0.26,hv,hv70193867,2018-05-26T14:26:27.210Z,"13km SSE of Volcano, Hawaii",earthquake,0.74,1.98,0.38,10,automatic,hv,hv
2018-05-26T14:15:04.110Z,31.8102,48.72,35,4.4,mb,,64,4.142,0.7,us,us1000ecq8,2018-05-27T01:56:35.714Z,"29km SSW of Shushtar, Iran",earthquake,7.6,2,0.139,15,reviewed,us,us
2018-05-26T14:06:20.340Z,17.9715,-65.9391,10,2.6,md,13,242,0.1678,0.18,pr,pr2018146009,2018-05-26T15:17:48.425Z,"3km S of Palo Seco, Puerto Rico",earthquake,0.89,0.65,0.44,12,reviewed,pr,pr
2018-05-26T14:05:57.329Z,61.4527,-150.5083,59,3,ml,,,,0.62,ak,ak19666273,2018-05-26T19:59:12.716Z,"32km WSW of Big Lake, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-05-26T14:01:34.560Z,37.871,141.7245,51.7,4.7,mb,,138,0.739,1.05,us,us1000ecq2,2018-05-26T19:06:36.378Z,"71km SSE of Ishinomaki, Japan",earthquake,7,6.6,0.05,119,reviewed,us,us
2018-05-26T12:27:28.320Z,6.0192,125.3845,87.02,4.5,mb,,132,5.575,0.92,us,us1000ecpf,2018-05-26T13:07:31.040Z,"4km S of Suyan, Philippines",earthquake,5.3,9.9,0.106,26,reviewed,us,us
2018-05-26T12:25:25.880Z,19.3129997,-155.1410065,5.25,3.21,ml,14,130,0.02925,0.16,hv,hv70193642,2018-05-26T12:31:05.010Z,"16km SE of Volcano, Hawaii",earthquake,0.76,1.62,3.09,10,automatic,hv,hv
2018-05-26T11:43:43.860Z,19.3928337,-155.2861633,0.48,2.79,md,14,69,0.02478,0.17,hv,hv70193532,2018-05-26T11:46:47.900Z,"6km SW of Volcano, Hawaii",earthquake,0.31,0.65,0.04,8,automatic,hv,hv
2018-05-26T11:33:41.000Z,19.4050007,-155.2944946,2.68,2.51,ml,11,196,0.01634,0.3,hv,hv70193492,2018-05-26T11:39:21.940Z,"6km WSW of Volcano, Hawaii",earthquake,1.44,1.89,0.15,8,automatic,hv,hv
